timestamp,source,destination,protocol,length
1733139258.269192,192.168.43.65,74.125.133.188,6,55
1733139258.433606,74.125.133.188,192.168.43.65,6,66
1733139267.768326,192.168.43.65,2.16.162.236,6,54
1733139267.770195,192.168.43.65,2.16.162.236,6,54
1733139267.771584,192.168.43.65,2.16.162.236,6,54
1733139267.772668,192.168.43.65,2.16.162.236,6,54
1733139268.001777,2.16.162.236,192.168.43.65,6,54
1733139268.001777,2.16.162.236,192.168.43.65,6,54
1733139268.028714,2.16.162.236,192.168.43.65,6,85
1733139268.028954,192.168.43.65,2.16.162.236,6,54
1733139268.029153,2.16.162.236,192.168.43.65,6,54
1733139268.029231,192.168.43.65,2.16.162.236,6,54
1733139268.036275,2.16.162.236,192.168.43.65,6,85
1733139268.036275,2.16.162.236,192.168.43.65,6,54
1733139268.036429,192.168.43.65,2.16.162.236,6,54
1733139268.036563,192.168.43.65,2.16.162.236,6,54
1733139268.03697,2.16.162.236,192.168.43.65,6,85
1733139268.03697,2.16.162.236,192.168.43.65,6,54
1733139268.03697,2.16.162.236,192.168.43.65,6,85
1733139268.037125,192.168.43.65,2.16.162.236,6,54
1733139268.037234,192.168.43.65,2.16.162.236,6,54
1733139268.03739,192.168.43.65,2.16.162.236,6,54
1733139268.037566,2.16.162.236,192.168.43.65,6,54
1733139268.037623,192.168.43.65,2.16.162.236,6,54
1733139270.041976,192.168.43.65,162.159.134.234,6,105
1733139270.218251,162.159.134.234,192.168.43.65,6,54
1733139270.530982,162.159.134.234,192.168.43.65,6,88
1733139270.585062,192.168.43.65,162.159.134.234,6,54
1733139275.122994,192.168.43.65,20.107.133.224,6,55
1733139275.454023,20.107.133.224,192.168.43.65,6,66
1733139275.820831,192.168.43.65,192.168.43.255,17,176
1733139278.656583,192.168.43.65,104.208.16.95,6,54
1733139283.60188,192.168.43.65,13.107.21.239,6,55
1733139283.868308,13.107.21.239,192.168.43.65,6,66
1733139285.554271,192.168.43.65,3.208.217.100,6,55
1733139286.128719,3.208.217.100,192.168.43.65,6,66
1733139287.377684,192.168.43.65,13.107.21.239,6,215
1733139287.377799,192.168.43.65,13.107.21.239,6,100
1733139287.377845,192.168.43.65,13.107.21.239,6,1190
1733139287.656921,13.107.21.239,192.168.43.65,6,54
1733139287.656921,13.107.21.239,192.168.43.65,6,100
1733139287.656921,13.107.21.239,192.168.43.65,6,54
1733139287.700949,192.168.43.65,13.107.21.239,6,54
1733139287.964397,13.107.21.239,192.168.43.65,6,366
1733139287.964397,13.107.21.239,192.168.43.65,6,108
1733139287.964397,13.107.21.239,192.168.43.65,6,184
1733139287.964514,192.168.43.65,13.107.21.239,6,54
1733139287.96465,13.107.21.239,192.168.43.65,6,92
1733139287.964677,192.168.43.65,13.107.21.239,6,54
1733139287.965369,192.168.43.65,13.107.21.239,6,96
1733139288.066701,13.107.21.239,192.168.43.65,6,54
1733139289.174583,192.168.43.65,140.82.112.25,6,55
1733139289.58766,140.82.112.25,192.168.43.65,6,66
1733139297.215883,162.125.21.3,192.168.43.65,6,172
1733139297.23648,192.168.43.65,162.125.21.3,6,1107
1733139297.288456,162.125.21.3,192.168.43.65,6,54
1733139297.288567,192.168.43.65,162.125.21.3,6,720
1733139297.322758,162.125.21.3,192.168.43.65,6,54
1733139298.347707,192.168.43.65,162.125.21.2,6,1107
1733139298.348325,192.168.43.65,162.125.21.2,6,1454
1733139298.348325,192.168.43.65,162.125.21.2,6,1454
1733139298.348325,192.168.43.65,162.125.21.2,6,1454
1733139298.348325,192.168.43.65,162.125.21.2,6,1454
1733139298.348325,192.168.43.65,162.125.21.2,6,1454
1733139298.348325,192.168.43.65,162.125.21.2,6,1454
1733139298.348325,192.168.43.65,162.125.21.2,6,1454
1733139298.348325,192.168.43.65,162.125.21.2,6,508
1733139298.530552,162.125.21.2,192.168.43.65,6,54
1733139298.541662,162.125.21.2,192.168.43.65,6,54
1733139298.54203,162.125.21.2,192.168.43.65,6,54
1733139298.54203,162.125.21.2,192.168.43.65,6,54
1733139298.54483,162.125.21.2,192.168.43.65,6,54
1733139298.54483,162.125.21.2,192.168.43.65,6,54
1733139298.567089,162.125.21.2,192.168.43.65,6,54
1733139298.567089,162.125.21.2,192.168.43.65,6,54
1733139298.567683,162.125.21.2,192.168.43.65,6,54
1733139298.764167,192.168.43.65,23.214.120.36,6,55
1733139298.797305,162.125.21.2,192.168.43.65,6,1128
1733139298.84534,192.168.43.65,162.125.21.2,6,54
1733139298.887993,23.214.120.36,192.168.43.65,6,66
1733139303.449992,192.168.43.65,74.125.133.188,6,55
1733139303.622728,74.125.133.188,192.168.43.65,6,66
1733139303.656121,140.82.112.25,192.168.43.65,6,95
1733139303.672966,192.168.43.65,140.82.112.25,6,99
